COUNTRY,Country,WEEK,GENDER,Gender,Age,VARIABLE,Variable,YEAR,Year,Value
LUX,Luxembourg,15,FEMALE,Females,Total,EXCESSNB,Excess deaths (number),2022,2022,8.2
SWE,Sweden,36,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,1.4
SWE,Sweden,36,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,1.4
AUT,Austria,32,FEMALE,Females,65 and over,EXCESSNB,Excess deaths (number),2020,2020,0.4
AUT,Austria,32,FEMALE,Females,65 and over,EXCESSNB,Excess deaths (number),2021,2021,88.4
AUT,Austria,9,FEMALE,Females,65 and over,EXCESSNB,Excess deaths (number),2020,2020,-55.4
AUT,Austria,9,FEMALE,Females,65 and over,EXCESSNB,Excess deaths (number),2021,2021,-192.4
AUT,Austria,9,FEMALE,Females,65 and over,EXCESSNB,Excess deaths (number),2022,2022,29.6
CHE,Switzerland,3,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2020,2020,-71
CHE,Switzerland,3,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2021,2021,273
CHE,Switzerland,3,TOTAL,Total,Total,EXCESSNB,Excess deaths (number),2022,2022,-6
CAN,Canada,13,MALE,Males,65 and over,EXCESSNB,Excess deaths (number),2020,2020,293
CAN,Canada,13,MALE,Males,65 and over,EXCESSNB,Excess deaths (number),2021,2021,158
PRT,Portugal,17,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,-3.2
PRT,Portugal,17,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,1.8
PRT,Portugal,17,TOTAL,Total,45 to 64,EXCESSNB,Excess deaths (number),2022,2022,12.8
LTU,Lithuania,42,MALE,Males,65 and over,EXCESSNB,Excess deaths (number),2020,2020,21.2
LTU,Lithuania,42,MALE,Males,65 and over,EXCESSNB,Excess deaths (number),2021,2021,114.2
DNK,Denmark,51,MALE,Males,45 to 64,EXCESSNB,Excess deaths (number),2020,2020,-7
DNK,Denmark,51,MALE,Males,45 to 64,EXCESSNB,Excess deaths (number),2021,2021,-11
SVK,Slovak Republic,45,FEMALE,Females,65 and over,EXCESSNB,Excess deaths (number),2020,2020,209.2
SVK,Slovak Republic,45,FEMALE,Females,65 and over,EXCESSNB,Excess deaths (number),2021,2021,273.2
AUT,Austria,24,MALE,Males,65 and over,EXCESSNB,Excess deaths (number),2020,2020,0
AUT,Austria,24,MALE,Males,65 and over,EXCESSNB,Excess deaths (number),2021,2021,71
PRT,Portugal,40,MALE,Males,Total,EXCESSNB,Excess deaths (number),2020,2020,117.2
PRT,Portugal,40,MALE,Males,Total,EXCESSNB,Excess deaths (number),2021,2021,80.2
BEL,Belgium,16,TOTAL,Total,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,-18.4
BEL,Belgium,16,TOTAL,Total,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,10.6
BEL,Belgium,16,TOTAL,Total,0 to 44,EXCESSNB,Excess deaths (number),2022,2022,-7.4
CAN,Canada,14,FEMALE,Females,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,6
CAN,Canada,14,FEMALE,Females,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,11
CHL,Chile,42,FEMALE,Females,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,9.8
CHL,Chile,42,FEMALE,Females,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,-0.2
EST,Estonia,12,FEMALE,Females,Total,EXCESSNB,Excess deaths (number),2020,2020,-10.4
EST,Estonia,12,FEMALE,Females,Total,EXCESSNB,Excess deaths (number),2021,2021,37.6
EST,Estonia,12,FEMALE,Females,Total,EXCESSNB,Excess deaths (number),2022,2022,11.6
GRC,Greece,5,FEMALE,Females,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,2.2
GRC,Greece,5,FEMALE,Females,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,-6.8
GRC,Greece,5,FEMALE,Females,0 to 44,EXCESSNB,Excess deaths (number),2022,2022,0.2
EST,Estonia,47,TOTAL,Total,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,-0.4
EST,Estonia,47,TOTAL,Total,0 to 44,EXCESSNB,Excess deaths (number),2021,2021,0.6
CZE,Czech Republic,44,MALE,Males,0 to 44,EXCESSNB,Excess deaths (number),2020,2020,-0.2
